doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;01.03.22 09:38;Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays;;;0;0;2;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;A;1
1;02.06.22 10:03;First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob;;;7;0;3;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;2;0;;A;2
2;07.08.22 13:44;Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite;;;4;0;0;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;A;3
3;21.11.22 19:12;Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain;;;2;0;0;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;A;4
4;27.12.22 20:21;Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in two months. #bali;;;3;0;1;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;1;0;;A;5
5;01.03.22 09:38;Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays;;;0;0;2;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;B;1
6;01.03.22 10:03;First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob;;;7;0;3;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;2;0;;B;2
7;01.03.22 13:44;Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite;;;4;0;0;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;B;3
8;01.03.22 19:12;Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain;;;2;0;0;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;0;0;;B;4
9;01.03.22 20:21;Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in two months. #bali;;;3;0;1;Sam R.;sam_rieder;Small bites of life.;https://images.unsplash.com/photo-1568602471122-7832951cc4c5?q=80&w=1470&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D;1503;1;0;;B;5
