doc_id,datetime,text,media,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,condition,"sequence,,,"
0,01.03.22 09:38,Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays,,15,6,2,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency SelfA,1
1,02.06.22 10:03,First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob ,,7,0,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency SelfA,2
2,07.08.22 13:44,Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite ,https://unsplash.com/photos/a-cup-of-coffee-sitting-on-top-of-a-wooden-table-Ct2cfPKSnTQ,10,3,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency SelfA,3
3,21.11.22 19:12,"Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain",https://unsplash.com/photos/a-person-standing-on-a-sidewalk-with-their-feet-up-LNP0NYNnDzI,13,2,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency SelfA,5
4,27.12.22 15:21,Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in October. #bali ,https://unsplash.com/photos/island-under-white-sky-exFdOWkYBQw,8,0,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,Low Frequency SelfA,4
5,01.03.22 09:38,Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays,,18,3,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency SelfB,1
6,01.03.22 10:03,First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob #firstday,,10,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency SelfB,2
7,01.03.22 13:44,Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite ,https://unsplash.com/photos/a-cup-of-coffee-sitting-on-top-of-a-wooden-table-Ct2cfPKSnTQ,4,0,2,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency SelfB,3
8,01.03.22 19:12,"Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain",https://unsplash.com/photos/a-person-standing-on-a-sidewalk-with-their-feet-up-LNP0NYNnDzI,10,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency SelfB,5
9,01.03.22 15:21,Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in October. #bali ,https://unsplash.com/photos/island-under-white-sky-exFdOWkYBQw,9,1,0,Sam R.,sam_rieder,Small bites of life.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,1503,0,0,High Frequency SelfB,4
