doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;01.03.22 08:15;First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob #firstday;;;24;3;5;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;A;1
1;19.05.22 13:44;Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite;https://images.unsplash.com/photo-1637153468029-bd762b3a0b33?w=1600&auto=format&fit=crop;A white cup of coffee on a wooden cafe table, seen from above.;9;0;1;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;A;2
2;04.08.22 17:50;Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays;https://images.unsplash.com/photo-1684934899514-772e03714de5?w=1600&auto=format&fit=crop;A train passing through a station beneath a large platform clock.;7;1;2;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;A;3
3;23.10.22 19:20;Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain;https://images.unsplash.com/photo-1689020188062-086bcae2b17b?w=1600&auto=format&fit=crop;Looking down at a pair of soaked shoes on wet pavement.;11;0;3;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;A;4
4;27.12.22 21:35;Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in April. #bali #travel;https://images.unsplash.com/photo-1577717903315-1691ae25ab3f?w=1600&auto=format&fit=crop;A tropical island with palm trees and turquoise water under an open sky.;19;2;4;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;A;5
5;01.03.22 08:15;First day at the dream job today. Still cannot quite believe this one actually happened. The badge photo is terrible but who cares. #dreamjob #firstday;;;24;3;5;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;B;1
6;01.03.22 13:44;Third coffee of the day and it is not even 2pm yet. #coffee #flatwhite;https://images.unsplash.com/photo-1637153468029-bd762b3a0b33?w=1600&auto=format&fit=crop;A white cup of coffee on a wooden cafe table, seen from above.;9;0;1;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;B;2
7;01.03.22 17:50;Train delayed forty minutes with no explanation. Sitting on the platform bench watching everyone else refresh the app as well. #trains #delays;https://images.unsplash.com/photo-1684934899514-772e03714de5?w=1600&auto=format&fit=crop;A train passing through a station beneath a large platform clock.;7;1;2;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;B;3
8;01.03.22 19:20;Got completely soaked on the walk home. Forgot the umbrella again, obviously. Now standing in the hallway dripping onto the floor. #rain;https://images.unsplash.com/photo-1689020188062-086bcae2b17b?w=1600&auto=format&fit=crop;Looking down at a pair of soaked shoes on wet pavement.;11;0;3;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;B;4
9;01.03.22 21:35;Two weeks in Bali finally booked. Have been putting money aside since last summer and it is actually happening in April. #bali #travel;https://images.unsplash.com/photo-1577717903315-1691ae25ab3f?w=1600&auto=format&fit=crop;A tropical island with palm trees and turquoise water under an open sky.;19;2;4;Sam R.;sam_rieder;Small bites of life.;https://raw.githubusercontent.com/caldascadu/dice/refs/heads/main/avatar_rieder.png;1503;0;0;;B;5
